PERIODO;DANE_ESTABLECIMIENTO;DANE_SEDE;PROM MATEMÁTICA;PROM CIENCIAS SOCIALES;PROM FILOSOFÍA;PROM BIOLOGÍA;PROM QUÍMICA;PROM FÍSICA;PROM NGLÉS;ESTUDIANTES
20131;273001002658;273001002658;45;55;45,5;52,5;58;50;44,5;2
20131;311848002424;311848002424;73,98425197;59,63779528;59,62204724;57,23622047;65;60;88,43307087;127
20132;176001005813;176001005813;46,36627907;46,20494186;41,92005814;46,5377907;46,0247093;45,5247093;45,21366279;688
20132;154001004716;154001004716;44,7689769;42,3630363;39,08580858;44,2970297;44,41914191;42,66336634;43,08250825;303
20132;105001002526;105001002526;44,85148515;45,71287129;39,93069307;44,45544554;44,78217822;44,76237624;44,02970297;101
20132;111001011045;111001011045;46,21527778;47,15277778;42,30555556;45,64583333;45,36805556;47,01388889;46,59722222;144
20132;117001001544;117001001544;47,33333333;49,13333333;44,05833333;46,275;49,70833333;49,34166667;47,73333333;120
20132;211769003151;211769003151;48,56613757;48,07407407;43,41798942;46,8994709;48,02645503;48,53439153;46,89417989;189
20132;120750000415;120750000415;41,70689655;44,12931034;39,04310345;42,62068966;44,00862069;43,31896552;40,38793103;116
20132;173001010443;173001010443;43,3030303;43,87878788;39,22727273;44,15151515;43,40909091;43,18181818;40,66666667;66
20132;441799000322;441799000322;42,83333333;42,52777778;37,80555556;40,05555556;42;44,22222222;42,08333333;36
20132;111001013820;111001013820;45,18867925;45,49056604;38,22641509;45,37735849;46,96226415;45,30188679;41,24528302;53
20132;176001003918;176001003918;43,36144578;42,51807229;38,19277108;44,26506024;44,20481928;45,22891566;42,12048193;83
20132;341551003282;341551003282;40,30769231;39,76923077;37,11538462;41,53846154;41,30769231;42,03846154;39,65384615;26
20131;152001000777;152001000777;56,87665198;51,33920705;49,78854626;51,31718062;54,42290749;50,66079295;53,63436123;227
20131;311001105367;311001105367;42,75;46,1125;39,7;44,9;41,975;42,0625;41,5125;80
20132;305148000994;305148000994;39,25;39,8125;37,75;43,8125;42,6875;39,1875;43,8125;16
20132;168679000461;168679000461;51,4796748;48,3902439;44,36178862;47,71544715;49,30487805;48,6097561;43,18292683;246
20132;311001106720;311001106720;40,59574468;40,95744681;37,92553191;41,75531915;41,63829787;40,11702128;41,57446809;94
20132;147001000455;147001000455;40,64705882;39,81176471;35,8;41,24313725;40,22745098;39,64705882;39,50588235;255
20132;183001000940;183001000940;47,01724138;49,75;43,25;47,24137931;49,80172414;49,14655172;47,31896552;116
20132;350001007361;350001007361;41,74;42,12;39;41,14;41,82;42,26;41,24;50
20132;113001001697;113001001697;39,32051282;39,42307692;36,61538462;40,96153846;40,24358974;39,08974359;39,41025641;78
20132;168276000410;168276000410;51,44144144;48,53453453;44,34234234;49,0990991;49,70570571;48,92492492;48,48048048;333
20132;276520006635;276520006635;45,86486486;45,08108108;39,13513514;43,86486486;43,89189189;46,37837838;43,40540541;37
20131;341001005237;341001005237;50,33333333;47,61904762;39,47619048;46,61904762;43,66666667;45,71428571;46,85714286;21
20132;315238000026;315238000026;53,73387097;50,41935484;44,75;50,38709677;50,11290323;49,89516129;49,87096774;124
20132;173001004788;173001004788;44,29230769;42,81538462;41,29230769;44,81538462;43,53846154;45,55384615;44,06153846;65
20132;305697000025;305697000025;47,56097561;47,24390244;44,46341463;46,95121951;46,80487805;46,63414634;47,65853659;41
20132;154001002462;154001002462;41,88590604;40,26174497;36,47651007;42,06040268;41,51677852;40,0738255;41,1409396;149
20132;325754001891;325754001891;49,86153846;49,45128205;44,44615385;48,48717949;51,11282051;49,55897436;51,70769231;195
20132;181794000748;181794000748;46,82242991;47,36448598;41,43925234;47,01869159;48,12149533;47,71028037;44,61682243;107
20132;108758077905;108758077905;41,16216216;41,08108108;36,85135135;41,10810811;42,7972973;41,74324324;40,66216216;74
20132;123574001000;123574001000;41,13043478;40,64130435;35,7173913;40,98913043;40,7173913;41,31521739;41,17391304;92
20131;168615000262;168615000262;51,36363636;45,54545455;43,72727273;46;50,63636364;46,18181818;42,63636364;11
20132;213052000355;213052000355;44,30434783;44,95652174;43;43,47826087;44,56521739;44,2173913;39,86956522;23
20132;105792000190;105792000190;40,38461538;40,04395604;34,84615385;40,3956044;39,35164835;38,17582418;40,04395604;91
20132;150001004656;150001004656;47,33742331;46,64417178;40,55214724;46,42944785;47,43558282;48,30674847;43,40490798;163
20131;366001000742;366001000742;67,46153846;56,15384615;54,07692308;54,92307692;60,30769231;57,46153846;70,07692308;13
20132;283094001112;283094001112;42,44444444;45,51111111;41,71111111;44,17777778;44,6;43,8;41,88888889;45
20132;120011001047;120011001047;41,7265625;42,5;38,3046875;42,171875;42,0390625;41,40625;41,171875;128
20131;115272000010;115272000010;52,21428571;46,42857143;45,92857143;46,78571429;48;44,92857143;45,64285714;14
20132;325269000992;325269000992;48,11111111;47,94444444;45,55555556;49,83333333;48,94444444;45,11111111;50,72222222;18
20132;105318000278;105318000278;47,25301205;47,54216867;42,15662651;46;47,3253012;46,01204819;45,53012048;83
20132;247268002052;247268002052;39,93939394;38,68181818;34,65151515;40,46969697;40,48484848;39,16666667;38,95454545;66
20132;176109000575;176109000575;46,27906977;45,82170543;43,01550388;45,71317829;46,48837209;45,40310078;48,27131783;129
20132;311769003008;311769003008;45,96;46,96;41,94;47,44;46,46;45,74;48;50
20131;152399000071;152399000071;52,85714286;49;48,5;49,35714286;50,28571429;47,46428571;45,53571429;28
20132;108001003513;108001003513;45,67777778;44,86666667;42,97777778;45,08888889;46,14444444;43,02222222;45,21111111;90
20132;154001000095;154001000095;52,31336406;47,87557604;44,28110599;50,06912442;51,70967742;52,03686636;49,48847926;217
20132;344001003357;344001003357;51,5;47;43,5;48,66666667;51,66666667;49,83333333;50,58333333;12
20131;168190002053;168190002053;48,38461538;46,38461538;40,38461538;48;48;43,61538462;42,84615385;13
20132;152405000207;152405000207;40,66666667;42,78666667;34,94666667;41,21333333;40,98666667;41,84;38,46666667;75
20132;311001092818;311001092818;41,11111111;41,55555556;35,44444444;44,88888889;44,11111111;42,88888889;44,33333333;9
20132;123189000337;123189000337;38,90217391;41,01086957;37,90217391;41,33695652;43,45652174;42,47826087;40,40217391;92
20132;313001029396;313001029396;40,38613861;40,01980198;35,69306931;40,76237624;40,8019802;39,75247525;39,97029703;101
20132;313001006701;313001006701;47;45,63273453;41,05988024;45,9760479;46,44510978;46,27744511;43,4251497;501
20132;195001002843;195001002843;43,8203125;42,2265625;36,8515625;43,1484375;41,9609375;42,0859375;42;128
20132;105001001121;105001001121;45,26530612;44,61904762;40,27891156;44,16326531;44,16326531;43,70068027;44,63945578;147
20132;111001018201;111001018201;45,65540541;44,79054054;40,06081081;44,22972973;44,09459459;44,72297297;42,75;148
20132;176520000471;176520000471;48,26666667;46,43859649;41,07719298;47,02105263;47,98245614;49,58947368;44,31578947;285
20132;241001000486;241001000486;42,24242424;41,87878788;35,66666667;42,87878788;41,63636364;40,78787879;41,81818182;33
20132;173001001053;173001001053;46,18050542;44,74729242;40,71119134;45,53429603;46,77617329;46,22743682;43,44043321;277
20132;368001005488;368001005488;39,94988067;38,88782816;34,02625298;39,9928401;39,0071599;36,83293556;37,03102625;419
20131;152838000171;152838000171;55,31132075;48,77358491;46,81132075;51,13207547;53,59433962;50,71698113;48,69811321;106
20132;173352000690;173352000690;43,2962963;44,77777778;39,40740741;43,85185185;46,51851852;43;39,96296296;27
20132;305001003963;305001003963;52,1719457;49,61387632;45,10859729;49,42383107;50,91101056;49,55957768;53,46153846;663
20132;305001019681;305001019681;61,6039604;55,68316832;52,04950495;55,37623762;60,2970297;58,87128713;82,61386139;101
20132;305055000959;305055000959;40,22222222;38,37777778;34,68888889;42,08888889;39,22222222;37,4;37,91111111;45
20132;127001000853;127001000853;40,01869159;41,3364486;38,44859813;42,68224299;41,80373832;40,20560748;41,97196262;107
20132;125513001069;125513001069;46,64367816;44,51724138;39,37931034;45,29885057;44,6091954;45,3908046;44,05747126;87
20132;325175001154;325175001154;53,83146067;50,33707865;45,97752809;50,37078652;50,16853933;51,98876404;56,65168539;89
20132;163130000173;163130000173;39,18518519;42,03703704;39,7037037;43,59259259;41,40740741;44,51851852;43,37037037;27
20132;305001004994;305001004994;45,25806452;48,48387097;44,38709677;48;47,22580645;48,61290323;49,77419355;31
20132;176001032063;176001032063;43,44329897;44,87628866;41,65979381;45,58762887;44,8556701;45,02061856;41,98969072;97
20132;223001005714;223001005714;36,61904762;39;35,61904762;38,9047619;41,14285714;40,28571429;39,23809524;21
20131;311001016836;311001016836;40,33333333;41,66666667;31,33333333;42,33333333;40,66666667;34;37;3
20132;308001012920;308001012920;41,67901235;40,0617284;36,04938272;40,7037037;42,80246914;40,03703704;41,12345679;81
20132;163001000655;163001000655;38,61666667;40,36666667;34,46666667;41,55;38,36666667;36,93333333;39,18333333;60
20132;354001007919;354001007919;41,32;38,92;35,76;39,68;44;42,92;41,96;25
