n;estrato;grado;prueba;NoHoja;establecimiento;enteTerr;municipio;sexo;sector;zona;zonaStab;nivel;disSenso;copietas;weight;score1;score2;score3;score4;score5
34;120391909;5;M;06080930;105001000141;03;05001;1;1;1;1;4;0;0;20;-0,71;-0,48;-0,58;-0,58;-0,86
34;120391909;5;M;06080931;105001000141;03;05001;1;1;1;1;4;0;0;20;0,46;0,28;1,36;0,51;0,21
34;120391909;5;M;06080932;105001000141;03;05001;2;1;1;1;4;0;0;20;-0,03;-0,21;0,31;0,04;-0,35
34;120391909;5;M;06080933;105001000141;03;05001;1;1;1;1;4;0;0;20;1,30;1,09;0,51;0,94;1,08
34;120391909;5;M;06080935;105001000141;03;05001;2;1;1;1;4;0;0;20;0,81;0,92;0,79;0,64;0,55
34;120391909;5;M;06080936;105001000141;03;05001;2;1;1;1;4;0;0;20;0,37;0,11;0,48;0,41;-0,04
34;120391909;5;M;06080939;105001000141;03;05001;2;1;1;1;4;0;0;20;1,06;-0,19;0,33;1,09;0,33
34;120391909;5;M;06080940;105001000141;03;05001;1;1;1;1;4;0;0;20;1,79;1,40;1,72;2,30;2,06
34;120391909;5;M;06080941;105001000141;03;05001;2;1;1;1;4;0;0;20;0,60;0,40;0,37;0,37;0,25
34;120391909;5;M;06080942;105001000141;03;05001;1;1;1;1;4;0;0;20;0,57;0,98;0,17;0,36;0,39
34;120391909;5;M;06080945;105001000141;03;05001;1;1;1;1;4;0;0;20;0,26;0,58;0,53;-0,14;0,25
34;120391909;5;M;06080946;105001000141;03;05001;1;1;1;1;4;0;0;20;1,02;1,72;0,47;1,08;0,58
34;120391909;5;M;06080949;105001000141;03;05001;1;1;1;1;4;0;0;20;0,75;0,34;0,36;0,34;1,04
34;120391909;5;M;06080950;105001000141;03;05001;1;1;1;1;4;0;0;20;0,65;0,44;-0,27;0,70;0,52
34;120391909;5;M;06080951;105001000141;03;05001;1;1;1;1;4;0;0;20;-0,62;-0,93;-0,82;-0,40;-0,17
34;120391909;5;M;06080952;105001000141;03;05001;2;1;1;1;4;0;0;20;0,06;-0,53;-0,06;0,10;-0,29
34;120391909;5;M;06080954;105001000141;03;05001;1;1;1;1;4;0;0;20;0,36;0,47;0,33;0,31;0,32
34;120391909;5;M;06080955;105001000141;03;05001;1;1;1;1;4;0;0;20;0,69;0,41;0,93;0,02;0,58
34;120391909;5;M;06080958;105001000141;03;05001;1;1;1;1;4;0;0;20;0,36;0,95;0,12;0,11;0,58
34;120391909;5;M;06080959;105001000141;03;05001;2;1;1;1;4;0;0;20;1,30;0,82;0,89;1,18;0,53
30;120391909;5;M;06080961;105001000141;03;05001;2;1;1;1;4;0;0;21;-0,58;-0,82;-0,51;-0,66;-0,05
