Modelos de un paramétro					Modelos de un paramétro							
Model	PROM_MODEL	PROM_R2	NUM_NA		Model	PROM_MODEL	PROM_R2	NUM_NA	Model	PROM_MODEL	PROM_R2	NUM_NA
cellPhone	11,006	0,950	0		cellPhone+heater+microWave	16,396	0,947	0	microWave+soundEqui+books	13,151	0,947	5
heater	11,442	0,950	0		heater+dvd+soundEqui	10,588	0,947	1	heater+dvd+books	13,559	0,948	5
microWave	13,775	0,950	0		microWave+dvd+soundEqui	11,000	0,947	1	dvd+soundEqui+books	14,080	0,948	5
washMach	8,008	0,950	1		heater+microWave+dvd	11,377	0,947	1	cellPhone+dvd+books	14,172	0,948	5
car	9,823	0,950	1		microWave+soundEqui+washMach	11,386	0,947	1	cellPhone+washMach+books	14,607	0,948	5
soundEqui	10,208	0,950	1		cellPhone+heater+dvd	12,048	0,947	1	car+soundEqui+books	14,885	0,947	5
dvd	10,869	0,950	1		cellPhone+microWave+washMach	12,238	0,947	1	cellPhone+soundEqui+books	15,097	0,948	5
fridge	40,177	0,951	3		cellPhone+heater+washMach	12,409	0,948	1	soundEqui+washMach+books	15,434	0,949	5
books	13,197	0,952	4		cellPhone+microWave+soundEqui	13,504	0,946	1	heater+washMach+books	16,233	0,948	5
OverCr	12,345	0,951	7		cellPhone+dvd+soundEqui	13,631	0,947	1	heater+soundEqui+books	17,149	0,947	5
EduDad	9,687	0,953	9		microWave+dvd+washMach	14,009	0,947	1	microWave+fridge+books	39,227	0,948	5
EduMom	10,165	0,953	10		cellPhone+microWave+dvd	14,118	0,947	1	cellPhone+fridge+books	44,347	0,948	5
sanitari	13,478	0,951	14		heater+microWave+soundEqui	15,250	0,946	1	heater+fridge+books	47,432	0,948	5
floors	12,532	0,952	16		cellPhone+heater+soundEqui	15,621	0,947	1	washMach+fridge+books	48,493	0,949	5
walls	6,109	0,950	21		cellPhone+heater+car	15,694	0,947	1	car+fridge+books	48,927	0,948	5
SEXO	5,373	0,948	33		cellPhone+soundEqui+washMach	15,823	0,948	1	soundEqui+fridge+books	49,990	0,948	5
ZONA	5,413	0,949	35		cellPhone+dvd+washMach	17,898	0,948	1	dvd+fridge+books	53,958	0,948	5
SECTOR	1,121	0,953	53		heater+microWave+car	20,921	0,946	1	heater+dvd+OverCr	11,686	0,948	7
					dvd+soundEqui+washMach	23,407	0,948	1	microWave+dvd+OverCr	11,818	0,948	7
					cellPhone+microWave+car	24,954	0,946	1	heater+fridge+OverCr	11,872	0,948	7
					heater+dvd+washMach	55,543	0,948	1	microWave+fridge+OverCr	11,926	0,948	7
Modelos de dos paramétro					heater+soundEqui+washMach	66,184	0,948	1	dvd+soundEqui+OverCr	12,474	0,948	7
Model	PROM_MODEL	PROM_R2	NUM_NA		heater+microWave+washMach	69,692	0,947	1	microWave+soundEqui+OverCr	12,565	0,947	7
