Model	Antioquia_SESGO,PROM	Apartadó_SESGO,PROM	Arauca_SESGO,PROM	Atlántico_SESGO,PROM	Barranquilla_SESGO,PROM	Bello_SESGO,PROM	Bogotá, D,C,_SESGO,PROM	Bolívar_SESGO,PROM	B_R2,PROMacá_SESGO,PROM	Bucaramanga_SESGO,PROM	Buenaventura_SESGO,PROM	Buga_SESGO,PROM	Caldas_SESGO,PROM	Cali_SESGO,PROM	Caquetá_SESGO,PROM	Cartagena_SESGO,PROM	Cartago_SESGO,PROM	Casanare_SESGO,PROM	Cauca_SESGO,PROM	Cesar_SESGO,PROM	Chía_SESGO,PROM	Chocó_SESGO,PROM	Ciénaga_SESGO,PROM	Córdoba_SESGO,PROM	Cúcuta_SESGO,PROM	Cundinamarca_SESGO,PROM	Dosquebradas_SESGO,PROM	Duitama_SESGO,PROM	Envigado_SESGO,PROM	Facatativá_SESGO,PROM	Girardot_SESGO,PROM	Girón_SESGO,PROM	Guainía_SESGO,PROM	Guaviare_SESGO,PROM	Huila_SESGO,PROM	Ibagué_SESGO,PROM	Ipiales_SESGO,PROM	Itagüí_SESGO,PROM	Jamundí_SESGO,PROM	La Guajira_SESGO,PROM	Lorica_SESGO,PROM	Magangué_SESGO,PROM	Magdalena_SESGO,PROM	Maicao_SESGO,PROM	Malambo_SESGO,PROM	Manizales_SESGO,PROM	Medellín_SESGO,PROM	Meta_SESGO,PROM	Montería_SESGO,PROM	Mosquera_SESGO,PROM	Nariño_SESGO,PROM	Norte de Santander_SESGO,PROM	Palmira_SESGO,PROM	Pasto_SESGO,PROM	Pereira_SESGO,PROM	Pitalito_SESGO,PROM	Pop_R2,PROMán_SESGO,PROM	Putum_R2,PROMo_SESGO,PROM	Quibdó_SESGO,PROM	Quindío_SESGO,PROM	Riohacha_SESGO,PROM	Rionegro_SESGO,PROM	Risaralda_SESGO,PROM	San Andrés_SESGO,PROM	Santa Marta_SESGO,PROM	Santander_SESGO,PROM	Sincelejo_SESGO,PROM	Soacha_SESGO,PROM	Soledad_SESGO,PROM	Sucre_SESGO,PROM	Tolima_SESGO,PROM	Tuluá_SESGO,PROM	Tumaco_SESGO,PROM	Tunja_SESGO,PROM	Turbo_SESGO,PROM	Uribia_SESGO,PROM	Valle del Cauca_SESGO,PROM	Valledupar_SESGO,PROM	Vaupés_SESGO,PROM	Villavicencio_SESGO,PROM	Yopal_SESGO,PROM	NA_SESGO,PROM	Antioquia_R2,PROM	Apartadó_R2,PROM	Arauca_R2,PROM	Atlántico_R2,PROM	Barranquilla_R2,PROM	Bello_R2,PROM	Bogotá, D,C,_R2,PROM	Bolívar_R2,PROM	B_R2,PROMacá_R2,PROM	Bucaramanga_R2,PROM	Buenaventura_R2,PROM	Buga_R2,PROM	Caldas_R2,PROM	Cali_R2,PROM	Caquetá_R2,PROM	Cartagena_R2,PROM	Cartago_R2,PROM	Casanare_R2,PROM	Cauca_R2,PROM	Cesar_R2,PROM	Chía_R2,PROM	Chocó_R2,PROM	Ciénaga_R2,PROM	Córdoba_R2,PROM	Cúcuta_R2,PROM	Cundinamarca_R2,PROM	Dosquebradas_R2,PROM	Duitama_R2,PROM	Envigado_R2,PROM	Facatativá_R2,PROM	Girardot_R2,PROM	Girón_R2,PROM	Guainía_R2,PROM	Guaviare_R2,PROM	Huila_R2,PROM	Ibagué_R2,PROM	Ipiales_R2,PROM	Itagüí_R2,PROM	Jamundí_R2,PROM	La Guajira_R2,PROM	Lorica_R2,PROM	Magangué_R2,PROM	Magdalena_R2,PROM	Maicao_R2,PROM	Malambo_R2,PROM	Manizales_R2,PROM	Medellín_R2,PROM	Meta_R2,PROM	Montería_R2,PROM	Mosquera_R2,PROM	Nariño_R2,PROM	Norte de Santander_R2,PROM	Palmira_R2,PROM	Pasto_R2,PROM	Pereira_R2,PROM	Pitalito_R2,PROM	Pop_R2,PROMán_R2,PROM	Putum_R2,PROMo_R2,PROM	Quibdó_R2,PROM	Quindío_R2,PROM	Riohacha_R2,PROM	Rionegro_R2,PROM	Risaralda_R2,PROM	San Andrés_R2,PROM	Santa Marta_R2,PROM	Santander_R2,PROM	Sincelejo_R2,PROM	Soacha_R2,PROM	Soledad_R2,PROM	Sucre_R2,PROM	Tolima_R2,PROM	Tuluá_R2,PROM	Tumaco_R2,PROM	Tunja_R2,PROM	Turbo_R2,PROM	Uribia_R2,PROM	Valle del Cauca_R2,PROM	Valledupar_R2,PROM	Vaupés_R2,PROM	Villavicencio_R2,PROM	Yopal_R2,PROM	PROM_MODEL	PROM_R2	NUM_NA
cellPhone+heater+microWave	0,8021230578	0,5201041126	0,4817738904	0,9284426974	1,3770237336	0,7651713828	0,0732957266	0,3551992131	2,9561963926	1,1595955547	9,7960450866	15,2408637957	2,9537134063	0,295412118	3,3549199755	0,2253597028	0,5263285429	0,8132339775	1,957970435	0,3233426362	269,8862279968	4,9594397021	2,1580562236	0,1606810555	8,6966214082	0,6790129993	1,7793474314	31,604760603	8,6800984967	2,6244064901	46,1374147951	1,2910178989	7,6664263943	143,375655352	0,3335843748	2,4081285145	0,197828641	0,4526880813	179,9996326881	0,3921158922	62,3978757075	2,1975745417	0,5831155767	0,4741397771	4,5841862791	2,5385761094	0,1222490551	0,1629542548	1,3532497346	70,7677468985	0,9375301326	0,6365439538	1,3436411214	3,1587234589	2,6271095662	14,07418901	154,9423846909	0,9683633308	2,0236668354	2,480503679	3,5967104251	1,8219586112	1,9434490483	60,5908283196	2,7906976123	1,0470286131	2,6027910765	0,9743046037	1,5285966825	0,4198928055	4,8014962531	152,9117718042	1,3953066668	0,1008135237	1,1354689277	0,0010192678	0,1088161174	0,4043782891	0,0010962043	0,0888598015	3,0615765195	NA	0,940608872	0,9532680219	0,9542592088	0,9344295327	0,9525327926	0,9598627286	0,9499331493	0,9488096865	0,9493992109	0,9496074195	0,9625232456	0,9579725818	0,9469417985	0,9509819065	0,9349816787	0,9478667826	0,9540206611	0,9457848244	0,9345129122	0,946712503	0,9817322406	0,9457797873	0,937187061	0,9367210804	0,959880222	0,9469134674	0,964461542	0,9579433604	0,948979607	0,964909638	0,9620398709	0,9518492932	0,9456935497	0,9764077001	0,9467003754	0,9559436362	0,9609420385	0,9549882094	0,9555408648	0,952307233	0,938743985	0,9417275697	0,9456461799	0,9763154654	0,9593193536	0,9562788083	0,9471282205	0,9487528375	0,9486427945	0,9591420307	0,9602457237	0,9457593574	0,9575717525	0,9655446304	0,9584312086	0,9432711429	0,9487727762	0,9505049496	0,9491608009	0,9567668605	0,9153019637	0,9642520306	0,9396498197	0,9645160815	0,9495049024	0,9436451104	0,9501313137	0,9591176273	0,9497832473	0,934778682	0,9475599834	0,9666432153	0,9457854451	0,9675025448	0,9476887814	0,9431160464	0,9457623229	0,9532676214	0,9486625955	0,9522315085	0,9525626746	16,3961783378	0,9465857733	0
heater+dvd+soundEqui	0,724223892	3,239016097	0,7015684888	0,7812437316	1,1478092477	0,888104635	0,0706528688	0,4005836083	2,4336879602	0,2577318947	1,6939721686	24,6130497763	3,1334849778	0,4525617286	3,0019798284	0,5217386226	2,2941112743	1,0076977027	1,8861967062	0,2832788312	NA	7,0799980017	3,0256448095	0,1533355091	15,4479324846	0,4194103122	1,1733781868	20,5153049267	36,1455917503	3,6632044389	4,0317392833	4,0134093753	37,9743014803	157,9053409881	0,6017986275	3,6492585726	0,9287206179	0,8237953022	29,4609187289	0,3388404712	0,0114459477	1,3114227612	0,7202813332	47,4628923424	4,3024282423	1,1462142085	0,144644472	0,2078675661	0,7004651107	8,1853597013	1,138131109	0,6115787051	1,5871841463	2,2386583212	2,0118807181	10,7164700256	154,3055483054	0,3826208098	1,5234437927	4,688040729	12,2365257288	4,4319262193	0,6828855543	12,0613743873	3,4472370735	1,1381483144	0,3116678692	1,569841776	1,8133828744	0,3196510478	7,2387560192	172,2464027013	0,7276093019	0,2779757269	0,9845384351	1,8217976497	0,0768710621	0,2998837466	0,3565304668	0,0482737946	4,634545946	NA	0,9412262097	0,9534021453	0,9540492595	0,9360926936	0,9526628756	0,9597222421	0,9489004644	0,9503744074	0,9481889735	0,9485660564	0,9622454833	0,9551300239	0,948543063	0,9506619751	0,9348492733	0,9474692585	0,9588331463	0,9471401733	0,9342836387	0,9478785168	NA	0,9464248092	0,9381284795	0,936476967	0,9591340613	0,9478696527	0,9642047484	0,9583148753	0,9507056478	0,9656868807	0,9622933999	0,9519948461	0,9463173301	0,976554987	0,9464416705	0,9557884285	0,961076559	0,9562292159	0,960796268	0,9523816358	0,9395802622	0,9417150834	0,9460404863	0,9752854584	0,9595108282	0,9558198333	0,9467275923	0,9485058433	0,9499137005	0,9557374728	0,9606646252	0,9450813611	0,9582437683	0,9656440602	0,9586726354	0,943882599	0,948200499	0,952309781	0,9481845393	0,9564491366	0,9102242873	0,9645508925	0,9392957322	0,9608688507	0,9495516545	0,9445408244	0,9502335423	0,9593357109	0,9510581391	0,9349325193	0,9485443898	0,9769107662	0,9460073264	0,967238476	0,9486851869	0,9432490884	0,9459049422	0,9521226305	0,947809577	0,9517723566	0,953248148	10,5875877744	0,9472371789	1
microWave+dvd+soundEqui	0,6036238345	1,0097560869	0,7579646394	0,9855421043	1,1810470816	0,4909160911	0,0839891223	0,3577989294	1,2467501074	1,3105372168	5,6572990815	10,8995369144	2,4754800505	0,2926066796	2,9298272554	0,5141555126	6,4850057316	0,8979922474	2,0984836924	0,1657354685	NA	4,7791607463	2,1498798794	0,1627031315	6,7506398321	0,3835320157	0,6283735814	20,4078340436	16,0793959359	1,3290201609	1,1151535202	3,0205923133	46,0893851449	113,1808600425	1,0739634216	1,5760461941	0,0563678967	0,5048296206	86,1858852115	0,1750726902	74,0498420839	2,6731629657	0,6177576833	64,4094703097	1,8076244237	1,0468203007	0,1267573553	0,1218927549	1,098861423	13,1966291118	1,0377274232	0,5856581018	1,7832367954	4,853884167	0,9428447617	0,0365568852	156,0976184395	0,1689173204	5,1198006224	3,4624149984	3,082516266	4,2366590811	0,2515263679	13,622214835	0,7073266995	0,9030551086	1,1444158973	0,5127548657	1,2384346301	0,3592814464	6,2668982022	156,4916723381	0,2926939466	0,3532995444	1,491291239	1,8083542514	0,0658406326	0,3666017939	2,6608835066	0,0471379115	4,8052938517	NA	0,9401337855	0,9531033256	0,9542083717	0,9360376139	0,9525979007	0,9596882329	0,947534893	0,9502606494	0,9485023164	0,948472251	0,9614103167	0,9587182766	0,9479357129	0,9501078383	0,9347222697	0,947921451	0,9590254798	0,9468458665	0,9333142356	0,9478657201	NA	0,9464702045	0,9385233316	0,9370779648	0,9553835436	0,9474368456	0,96419489	0,9583130981	0,9520292669	0,964952988	0,9622780852	0,9520559326	0,9516939472	0,9763967056	0,9463756567	0,9558022596	0,9604936622	0,9561678672	0,9564052674	0,9521307056	0,9398424089	0,9416909213	0,9459686716	0,9753653312	0,9590175817	0,9559317937	0,9457033595	0,947956805	0,9499755044	0,9560637866	0,9602991312	0,9438388377	0,9581860399	0,9652201146	0,9588161453	0,944016266	0,9486822826	0,9524887887	0,9498894083	0,9555789833	0,9004400423	0,9651550694	0,9392205313	0,960962771	0,9483212059	0,9445266729	0,9502896643	0,9593642849	0,9519824356	0,9357781364	0,9489244188	0,982390477	0,9457854206	0,9650767808	0,9483489129	0,9430993236	0,9460206643	0,9527182016	0,9470900376	0,9514718685	0,9530455009	11,0004796697	0,9465896432	1
heater+microWave+dvd	0,6639239736	0,1388098754	0,5797638368	0,8428712879	1,3546302321	1,0065690943	0,0721326958	0,3246748984	2,5336879472	1,1484774455	6,0879737498	5,024603706	3,1724170269	0,3669344671	2,5209699058	0,3311651841	4,6346166633	0,9648280976	1,8293296451	0,3209831359	NA	6,0352477892	0,7152726222	0,1627331043	6,1899246622	0,5911245378	1,2989439911	23,1756638492	32,2971865802	4,1836399804	32,0646847434	4,6836024104	40,4826841216	97,9006963563	0,5753210264	3,4812530848	0,7666723992	0,4469881576	14,4604616069	0,3243592584	65,11889892	1,7203199448	0,8066410971	10,9025893386	1,0308424785	1,6658340981	0,1238126917	0,185385682	0,9518355809	20,1559741645	1,1913700722	0,5691840826	1,2800716008	3,677246171	2,209349429	11,6656172981	155,1438944164	0,3937008759	6,9920255505	2,0149831071	3,2501848447	1,9726027454	0,4872466122	0,1574096339	3,4570059089	1,0269302446	2,3495223423	0,8455848077	1,292074506	0,3462123062	6,0741205624	287,5091763441	1,0716060973	0,1286391418	1,5656159243	1,1927001258	0,0720413895	0,3428858501	0,0924745814	0,0249328957	5,3407558325	NA	0,9410085655	0,9539475905	0,9541377547	0,9343215584	0,9528163389	0,9596051012	0,949647262	0,9505422823	0,9493651987	0,9496337091	0,9620839053	0,9590755948	0,9484820106	0,9506670298	0,9348026466	0,9477556742	0,9588351634	0,9458746551	0,9338068653	0,947828061	NA	0,9458579502	0,9361642175	0,9371157488	0,9595253333	0,9479321714	0,9642156928	0,9583021795	0,95185937	0,965635556	0,9640768819	0,9521070717	0,9496586644	0,9744025908	0,9464551268	0,9557800948	0,960106073	0,9561145515	0,9617798869	0,9524367557	0,9414760325	0,9417933574	0,9461469483	0,975036393	0,9589166301	0,9560528866	0,947168135	0,9488795343	0,9500503896	0,9563925482	0,960531116	0,9457675778	0,9582350993	0,9653984385	0,9587264012	0,9437803364	0,948598527	0,9511508801	0,9489847473	0,9564499356	0,9112129194	0,9646613028	0,9396428577	0,9618346534	0,9491267612	0,9445449664	0,9502213665	0,9592731597	0,9494786255	0,9348523538	0,9490831367	0,9715427644	0,9453177179	0,9671727087	0,9484252115	0,943107809	0,9460423548	0,9532411854	0,9488144632	0,9517324275	0,9526677624	11,3769390306	0,9468381639	1
microWave+soundEqui+washMach	0,7129543439	0,0030492217	1,057724606	1,110254638	1,1995223058	0,2748755155	0,0806293725	0,363079067	2,1019025985	2,0520545763	3,2837765791	0,0706252986	2,2329788943	0,2766702831	2,9124286665	0,3999993398	1,0623423405	0,7161125608	2,4019456515	0,1565810293	NA	7,7900285006	20,3488380844	0,1637043279	6,5666821666	0,4012438272	0,7918614557	57,086820767	0,4086598321	0,525242126	5,6674473051	0,9182944766	9,6344717724	125,618893962	0,7910671102	1,359607208	0,0861759785	0,6425164826	61,5584023516	0,3603883462	75,1288082931	4,5166426437	0,693493157	8,0675212694	8,9164575415	1,9693350835	0,120985624	0,0419416248	0,5996199213	18,3009812106	1,1414944172	0,6014455374	1,8048782758	3,5751237338	0,9702171292	7,1567304747	184,3123818532	0,3606808668	0,7837534987	4,1598755289	3,5075350253	1,5781985855	1,2292266364	5,2030437009	0,5259303836	1,0077688938	0,4295348748	0,7773837076	0,2666892146	0,1700037776	5,463436989	230,9142137795	0,4368819672	0,3083176604	1,3857065135	6,0101917031	0,0998868486	0,1069884216	2,6060640275	0,0951372705	2,343405809	NA	0,940867437	0,9525964174	0,9541765882	0,9360744288	0,9523964558	0,959886615	0,9480757558	0,9487719959	0,9508309626	0,9494324299	0,9618590295	0,9581925006	0,9489905349	0,9499263213	0,9347939692	0,9493811605	0,9552292417	0,9468756342	0,9323051293	0,9479578264	NA	0,9463543767	0,9398441633	0,9380275551	0,9565950607	0,9475386298	0,9642311915	0,9580042704	0,9505389011	0,964552869	0,9598345772	0,9530377349	0,9483170633	0,9768012045	0,9466753514	0,9559693146	0,9612670864	0,956094492	0,9511807937	0,9530149068	0,9420126581	0,9425930114	0,945898148	0,9795295077	0,9583936504	0,9575471908	0,9461934573	0,9488422899	0,9494790088	0,9569027794	0,960717073	0,9440490853	0,9582934732	0,9652766243	0,9586619505	0,9450004724	0,9497249633	0,9522064297	0,9504600723	0,9568601488	0,8998840229	0,9651513925	0,9412497303	0,9607533823	0,948533247	0,9452305343	0,9509068432	0,9593593444	0,9518366684	0,9383448563	0,9469417832	0,9830941596	0,9470576829	0,9664340937	0,9490820831	0,9447967113	0,9457390984	0,9533445525	0,9470270416	0,9527078335	0,9538183196	11,3859720805	0,9473428783	1
cellPhone+heater+dvd	0,8902262496	2,9832046088	0,6009782132	0,7436763404	1,2594548762	0,48844525	0,0629748926	0,491824991	2,4392747263	0,4422221681	6,1502526266	7,7280000307	3,1948615048	0,3375471482	3,2972861512	0,3884403344	3,5218409363	1,1250208711	1,6000079135	0,3235599378	NA	4,9963610071	1,4742025807	0,1245017187	23,0197035007	0,6065284906	1,4559565657	21,9643429019	39,8536430896	2,9326521465	9,4879702509	4,175259648	52,9324376712	145,3550372417	0,3256625414	2,8899691822	0,1740226487	0,4912684085	140,1508357107	0,32484099	0,0140653254	1,4847055954	0,6066737804	4,4632265784	3,8448798463	1,8636171517	0,1355729305	0,2567065709	1,7458296038	49,927354804	0,9861107038	0,5477535077	1,5254060344	2,5833778278	2,4790357689	10,9163456611	154,8188275397	1,4821933385	0,8095583932	4,5212968175	1,5649265413	1,0095836345	0,4595651138	32,2482513253	3,2778902342	0,926159957	0,4911542397	1,1820803165	3,1080318947	0,2946645133	6,829774325	161,9966497468	0,474261554	0,0890992555	0,7514160545	1,3811330436	0,090596338	0,2637657785	0,0057220158	0,0862128525	11,4699049425	NA	0,9409842964	0,9533747996	0,9540591417	0,9342923518	0,9527681974	0,9598336217	0,949564865	0,9513293518	0,9482121904	0,9487384952	0,9634236854	0,9546161064	0,9484643563	0,9512103065	0,9350632485	0,9479653962	0,9588529861	0,9457107431	0,935764685	0,9478019754	NA	0,9457248316	0,9358627991	0,9365911179	0,9595432446	0,9479537252	0,9644290993	0,9583120619	0,9510579964	0,9656944389	0,9617207644	0,9524889071	0,9450637023	0,9765524742	0,9467079541	0,9559739429	0,9607485732	0,9561094484	0,965443127	0,9525863677	0,9397591021	0,9417434053	0,9462935773	0,9761222617	0,9596814199	0,9561921351	0,9468619258	0,9485893642	0,9501157934	0,9587573019	0,9604911718	0,9450985484	0,958227798	0,9654613174	0,9588654874	0,9442035639	0,9488680019	0,9510339426	0,9480340353	0,9569658994	0,915792696	0,9642901704	0,9393159067	0,9641074444	0,9488683726	0,9444437002	0,950076941	0,9593070454	0,9494986864	0,9326903593	0,9490635317	0,9702391448	0,945597527	0,9675531356	0,9483663064	0,9432963125	0,9461598196	0,9532923523	0,9475710563	0,9521153156	0,9536149679	12,047720969	0,9472996322	1
cellPhone+microWave+washMach	0,8194268169	0,0965724231	0,9618059745	0,8352645796	1,2510791194	0,049544101	0,0730707669	0,4921792883	2,0895778976	1,279645653	4,2512922679	4,4899004891	2,4064850784	0,1752597126	3,2860064688	0,4743762272	0,9412342085	0,7498802951	2,2604408645	0,1695908458	NA	3,8387862291	8,3434696184	0,1451251752	5,0639557006	0,5212763533	1,1763535025	52,4501842211	0,643502043	0,4220495562	2,4470567722	0,330336151	28,2213524653	159,7791183554	0,5484666533	0,5728347489	0,5565470768	0,5801929592	53,4567204309	0,4872376758	67,2906358842	5,4941565089	0,535186399	12,6877399137	4,2648073986	2,2462144844	0,1110041253	0,0651188831	1,5256744025	64,6206550302	0,8967838944	0,5636831555	2,1397497448	3,4195711435	1,0759351755	7,2323299508	183,3040146932	0,3681819869	1,7119020372	4,0045587795	0,2759331189	4,2669111493	0,4396316157	135,7677375004	0,670503822	0,3730685352	1,6964279381	0,6578098362	1,1839897361	0,4314011427	4,8292776593	105,6570273734	0,9797673759	0,0771359039	1,0657443461	5,2838839631	0,1305960223	0,2432122673	0,4673272339	0,1359269976	4,1064532111	NA	0,9405248224	0,9524613994	0,9542273602	0,9346230216	0,9524606501	0,9599707764	0,9488507484	0,9496183032	0,9505962421	0,9494881429	0,9627040025	0,9575629393	0,9488650476	0,9505558048	0,9351282931	0,9491001961	0,9554150662	0,9459823149	0,9337265022	0,9479332577	NA	0,9456419866	0,9380295822	0,9381493517	0,9577652417	0,9476259058	0,9644537659	0,9579084867	0,9490039335	0,964686625	0,9603827669	0,9536485346	0,9456935497	0,9775704164	0,9470037487	0,9560640936	0,9608606139	0,9559813737	0,9547221452	0,9535215911	0,9423238449	0,942532028	0,9460350508	0,9791816017	0,9589436911	0,9578846624	0,9463310996	0,9488783735	0,9496929475	0,9592880222	0,9605051054	0,944007975	0,9582934067	0,9650295249	0,958753565	0,9444921389	0,9503444632	0,9512323992	0,9493305235	0,9571284053	0,9113667953	0,9647721867	0,9411783338	0,9632018684	0,9481637621	0,9451453716	0,9509298604	0,9593251965	0,9499261576	0,9373494212	0,9472596853	0,9673685303	0,9472002782	0,9671597644	0,9489608594	0,9450160082	0,9459044969	0,9538133906	0,9465351192	0,9529827078	0,9540069902	12,2379358638	0,9472659063	1
cellPhone+heater+washMach	1,0114878767	0,4862920225	1,0240820943	0,7593516071	1,2733321595	0,6479288439	0,0624977844	0,4941156844	3,143245477	0,2086187373	3,8340745735	2,7152942984	3,0179569131	0,3063984558	3,2786940335	0,208718133	0,2600279836	0,8768332555	1,9336170641	0,27850994	NA	5,6893293345	17,8197699139	0,1181429104	23,4164766732	0,6427746791	1,3899957725	52,945832148	13,0265036176	0,7674718637	21,0318672228	0,6766659685	24,2606588787	269,7185624088	0,3221370243	2,8328590995	0,1380498043	0,7416144984	22,0451260243	0,7135226715	0,9697820625	3,0233240968	0,6235899512	54,7149117409	3,2237320841	1,8994163748	0,1293533438	0,2073194609	1,1342864181	64,4153943145	1,2008799849	0,57738281	1,6456350881	3,5107996773	2,5567411354	16,6308499524	178,5856555231	0,826543998	0,2496567523	6,9772782002	2,1144990259	2,592206922	1,3620262126	26,0783838167	3,1843926156	1,0347003426	0,0966753083	1,5013277594	1,163399616	0,3549301075	5,6018422398	107,6935843079	0,4014074801	0,0526149319	0,4847513676	5,2470824265	0,1344455588	0,5643299956	0,25261903	0,1828596872	5,3639753858	NA	0,9415976721	0,9525489703	0,9540854105	0,9343913863	0,952557187	0,9599787944	0,94983083	0,949667412	0,9504198771	0,9498663863	0,9640727898	0,953871865	0,9491521125	0,9510319206	0,9352503512	0,9491837614	0,9554062013	0,9461197993	0,9347574049	0,9479459367	NA	0,9456110452	0,936478434	0,9376609769	0,960187596	0,94783476	0,9644040924	0,9579182686	0,9489865931	0,9650769053	0,9616274453	0,9535358173	0,9425662172	0,9775285792	0,9469966365	0,9560796773	0,9609424082	0,9559760788	0,9562407627	0,9537639265	0,9415115022	0,9426478107	0,9460463464	0,9787071338	0,9592369077	0,9576013041	0,9472461679	0,9496926259	0,9496464019	0,9593025542	0,9605744624	0,9454240909	0,9583147376	0,9654921584	0,9586714121	0,944521492	0,9502773319	0,9510181342	0,9482811707	0,9576020948	0,9140042069	0,9647463917	0,9413901007	0,9636409495	0,9494142215	0,9451465492	0,9508700678	0,9592984624	0,9489560892	0,9365481606	0,9471169077	0,9669385696	0,9474019842	0,9679675904	0,9492058327	0,9450652025	0,9458477183	0,9539444705	0,9471800225	0,9528534575	0,9539786145	12,408537807	0,9477881433	1
cellPhone+microWave+soundEqui	0,7392941118	0,0061454998	0,620048572	1,0866987272	1,2325489127	0,7077413738	0,0802184156	0,3610094818	1,3904818629	2,1281768597	8,2691176927	6,0080810757	2,2264141983	0,2225216349	3,5568025244	0,4154676468	0,6916805992	0,7827021925	2,1725729407	0,1576680972	NA	7,6603096995	3,664369929	0,1903512068	8,7231889051	0,5166281779	1,0829693556	31,8888548983	0,1410266073	0,997123179	5,7954807314	0,6470172223	12,1706651424	159,3025477779	0,7263646242	0,5024871898	0,6509233901	0,6900172411	121,8850981494	0,2455328659	70,6890649218	3,5068379181	0,4794898428	26,3189350277	1,3070948393	1,7613560484	0,1262245778	0,0528989659	1,629901583	56,0953961495	0,7879943749	0,6465662634	1,794555974	3,0010561988	1,0409578765	0,4980327722	155,7166196765	0,9246691943	0,0634845315	4,6244397813	5,8922958417	0,4119225748	0,7995003379	138,2843064594	0,7867078185	0,9052806272	1,3720609539	0,515980729	2,0714806588	0,4277713298	6,2638638511	191,1603022103	0,4091206714	0,1703519526	0,9991959354	0,5075394508	0,0986032201	0,1836780687	4,7342549464	0,1253107135	2,792484394	NA	0,9397509154	0,9525862679	0,9542856985	0,936217676	0,9523357585	0,9598683863	0,9481964388	0,9487953506	0,9484793811	0,9484861298	0,9619725272	0,9578585074	0,9464242386	0,9505106656	0,9350420544	0,9479696713	0,954064062	0,9468118583	0,933035542	0,9469438574	NA	0,9463597693	0,9388451731	0,9367422179	0,956730295	0,9463511259	0,964458682	0,9580235909	0,9503316124	0,964616322	0,9601026331	0,9519589478	0,9483170633	0,9765422194	0,9466809943	0,9559609043	0,9616453024	0,9549287272	0,9559608472	0,9523504035	0,9382954031	0,941638202	0,9456034997	0,97677092	0,9594550579	0,9561391532	0,9457048077	0,9478031623	0,948814515	0,9588939732	0,9601691133	0,9438398066	0,9579341197	0,9654046239	0,9584437761	0,943548038	0,9488810501	0,9518436603	0,949885701	0,956241191	0,9096012829	0,9646622082	0,9392304695	0,963869847	0,9484883287	0,943786115	0,9501228338	0,9592329092	0,9520343466	0,9358364885	0,9474041512	0,9825680658	0,9461903306	0,9661142585	0,9478133871	0,9432134925	0,9457637929	0,9527282003	0,9468951792	0,9521248367	0,9528237807	13,5039242247	0,9462873481	1
cellPhone+dvd+soundEqui	0,8241602429	6,8460188296	0,7933935568	0,9365921959	1,0476163301	1,1637073357	0,0669092306	0,5521533334	1,0461596773	0,4406835856	4,7533679547	41,1152153728	2,34800455	0,2509389377	3,5053520652	0,5376014098	6,1602942782	1,082489011	1,8289880278	0,1516207914	NA	4,4307924662	2,8257714483	0,1720894432	15,0871956623	0,4670785354	1,0305768177	19,4230640569	18,4282899512	1,0240584983	6,3634197592	2,4159470424	59,6581234529	190,8303581132	0,669767765	0,8786109136	0,6305247054	0,6854713022	156,9535489575	0,2301117358	0,3095790876	2,1038164243	0,4187214257	16,8537572463	1,6680557346	1,2420782645	0,1422894307	0,1615721868	1,9537047517	29,0853908506	0,8080914576	0,5518370909	1,9135692046	2,9268340232	0,7510863969	0,1017264096	155,2804282769	0,7199391196	0,1347895879	7,0116243902	2,2151482837	4,2126141827	0,2708347685	84,2616148588	0,6155079898	0,9496682017	0,0754095938	1,3911939522	5,0637000884	0,4003832104	8,2217898067	183,4152809412	0,6042794978	0,1845018976	0,6309658641	2,1576914164	0,0870635221	0,0952781494	4,3406760581	0,1500487077	9,3296593577	NA	0,9399817643	0,9524586813	0,9541358774	0,9361781415	0,9526033415	0,9597828012	0,9472798553	0,9512180518	0,9467367446	0,9468950191	0,9624950215	0,9543277436	0,9477738133	0,9507453431	0,9350853679	0,9481643436	0,9590621561	0,9468717655	0,934431615	0,9478518051	NA	0,9462240876	0,9384076761	0,9366492519	0,9566596681	0,9471864847	0,9644172738	0,958310716	0,951091521	0,9651867506	0,9607798344	0,9524248592	0,9463173301	0,9768861418	0,9466705155	0,9560034305	0,9612307823	0,9561617574	0,964998459	0,9525357718	0,9380613122	0,9416620451	0,9460654349	0,9768832971	0,9594308079	0,9560852738	0,9449886649	0,9477538992	0,9500699394	0,9581435674	0,960093333	0,9421147242	0,9582496084	0,9653414906	0,9589572119	0,9443982269	0,9489588497	0,9522918782	0,9484489917	0,9564015941	0,9084292572	0,9647345724	0,9387325114	0,963402719	0,9481843728	0,944395943	0,950043406	0,9593884396	0,9516138053	0,934403686	0,9488785602	0,9766545663	0,9463593837	0,9661494885	0,9482057714	0,9432917412	0,9461404644	0,9528717801	0,9463630731	0,9520854183	0,9542786129	13,6308533632	0,9471301886	1
