Model	Antioquia_SESGO,PROM	Apartadó_SESGO,PROM	Arauca_SESGO,PROM	Atlántico_SESGO,PROM	Barranquilla_SESGO,PROM	Bello_SESGO,PROM	Bogotá, D,C,_SESGO,PROM	Bolívar_SESGO,PROM	B_R2,PROMacá_SESGO,PROM	Bucaramanga_SESGO,PROM	Buenaventura_SESGO,PROM	Buga_SESGO,PROM	Caldas_SESGO,PROM	Cali_SESGO,PROM	Caquetá_SESGO,PROM	Cartagena_SESGO,PROM	Cartago_SESGO,PROM	Casanare_SESGO,PROM	Cauca_SESGO,PROM	Cesar_SESGO,PROM	Chía_SESGO,PROM	Chocó_SESGO,PROM	Ciénaga_SESGO,PROM	Córdoba_SESGO,PROM	Cúcuta_SESGO,PROM	Cundinamarca_SESGO,PROM	Dosquebradas_SESGO,PROM	Duitama_SESGO,PROM	Envigado_SESGO,PROM	Facatativá_SESGO,PROM	Girardot_SESGO,PROM	Girón_SESGO,PROM	Guainía_SESGO,PROM	Guaviare_SESGO,PROM	Huila_SESGO,PROM	Ibagué_SESGO,PROM	Ipiales_SESGO,PROM	Itagüí_SESGO,PROM	Jamundí_SESGO,PROM	La Guajira_SESGO,PROM	Lorica_SESGO,PROM	Magangué_SESGO,PROM	Magdalena_SESGO,PROM	Maicao_SESGO,PROM	Malambo_SESGO,PROM	Manizales_SESGO,PROM	Medellín_SESGO,PROM	Meta_SESGO,PROM	Montería_SESGO,PROM	Mosquera_SESGO,PROM	Nariño_SESGO,PROM	Norte de Santander_SESGO,PROM	Palmira_SESGO,PROM	Pasto_SESGO,PROM	Pereira_SESGO,PROM	Pitalito_SESGO,PROM	Pop_R2,PROMán_SESGO,PROM	Putum_R2,PROMo_SESGO,PROM	Quibdó_SESGO,PROM	Quindío_SESGO,PROM	Riohacha_SESGO,PROM	Rionegro_SESGO,PROM	Risaralda_SESGO,PROM	San Andrés_SESGO,PROM	Santa Marta_SESGO,PROM	Santander_SESGO,PROM	Sincelejo_SESGO,PROM	Soacha_SESGO,PROM	Soledad_SESGO,PROM	Sucre_SESGO,PROM	Tolima_SESGO,PROM	Tuluá_SESGO,PROM	Tumaco_SESGO,PROM	Tunja_SESGO,PROM	Turbo_SESGO,PROM	Uribia_SESGO,PROM	Valle del Cauca_SESGO,PROM	Valledupar_SESGO,PROM	Vaupés_SESGO,PROM	Villavicencio_SESGO,PROM	Yopal_SESGO,PROM	NA_SESGO,PROM	Antioquia_R2,PROM	Apartadó_R2,PROM	Arauca_R2,PROM	Atlántico_R2,PROM	Barranquilla_R2,PROM	Bello_R2,PROM	Bogotá, D,C,_R2,PROM	Bolívar_R2,PROM	B_R2,PROMacá_R2,PROM	Bucaramanga_R2,PROM	Buenaventura_R2,PROM	Buga_R2,PROM	Caldas_R2,PROM	Cali_R2,PROM	Caquetá_R2,PROM	Cartagena_R2,PROM	Cartago_R2,PROM	Casanare_R2,PROM	Cauca_R2,PROM	Cesar_R2,PROM	Chía_R2,PROM	Chocó_R2,PROM	Ciénaga_R2,PROM	Córdoba_R2,PROM	Cúcuta_R2,PROM	Cundinamarca_R2,PROM	Dosquebradas_R2,PROM	Duitama_R2,PROM	Envigado_R2,PROM	Facatativá_R2,PROM	Girardot_R2,PROM	Girón_R2,PROM	Guainía_R2,PROM	Guaviare_R2,PROM	Huila_R2,PROM	Ibagué_R2,PROM	Ipiales_R2,PROM	Itagüí_R2,PROM	Jamundí_R2,PROM	La Guajira_R2,PROM	Lorica_R2,PROM	Magangué_R2,PROM	Magdalena_R2,PROM	Maicao_R2,PROM	Malambo_R2,PROM	Manizales_R2,PROM	Medellín_R2,PROM	Meta_R2,PROM	Montería_R2,PROM	Mosquera_R2,PROM	Nariño_R2,PROM	Norte de Santander_R2,PROM	Palmira_R2,PROM	Pasto_R2,PROM	Pereira_R2,PROM	Pitalito_R2,PROM	Pop_R2,PROMán_R2,PROM	Putum_R2,PROMo_R2,PROM	Quibdó_R2,PROM	Quindío_R2,PROM	Riohacha_R2,PROM	Rionegro_R2,PROM	Risaralda_R2,PROM	San Andrés_R2,PROM	Santa Marta_R2,PROM	Santander_R2,PROM	Sincelejo_R2,PROM	Soacha_R2,PROM	Soledad_R2,PROM	Sucre_R2,PROM	Tolima_R2,PROM	Tuluá_R2,PROM	Tumaco_R2,PROM	Tunja_R2,PROM	Turbo_R2,PROM	Uribia_R2,PROM	Valle del Cauca_R2,PROM	Valledupar_R2,PROM	Vaupés_R2,PROM	Villavicencio_R2,PROM	Yopal_R2,PROM	PROM_MODEL	PROM_R2	NUM_NA
cellPhone+heater	0,8865909471	0,4772569035	0,5917394179	0,8352505224	1,2387146785	0,6183089743	0,0613642793	0,3741657519	2,8459335701	0,3040323681	5,811224466	0,0473013748	2,9461322974	0,3171112482	3,3671405519	0,1478256322	0,5221419261	0,9892550109	1,893951948	0,3177201791	237,8448177009	5,2332451144	2,2108998499	0,1274472929	23,6266213401	0,6296631964	1,3779525442	31,604760603	11,2532810536	1,5839769401	16,932174044	0,6483300806	17,3078328283	269,3231207222	0,1908840705	2,5149852059	0,1854600802	0,4580022748	181,3172368384	0,3918711448	0,0845874425	1,5649745512	0,5945822819	4,7685414723	3,429568661	2,3586586649	0,1342294943	0,164629295	1,1965536807	52,9594516328	0,9353700941	0,6368513645	1,4485356689	2,8734966167	2,4964033604	13,3853612586	153,9551980761	1,4546976768	0,0561276208	6,6646759389	2,0599919233	0,5723905659	2,2035226762	29,8350519128	2,6795832335	0,9436784016	0,3670719786	1,2109324045	1,9258736526	0,2700807361	4,6863956288	31,3292513115	0,4109344518	0,0956994695	0,4900477904	0,0005357255	0,1108933813	0,3846455122	0,1985002209	0,1530306189	4,496048628	NA	0,9404895049	0,9525040495	0,9540428087	0,9338398109	0,9522323829	0,9597968971	0,9493447506	0,9483849465	0,9480465443	0,9485126855	0,9623086326	0,9530047194	0,9467312376	0,9509696904	0,9349371542	0,9474970168	0,9539023113	0,9454139924	0,9342566843	0,9466079568	0,9675607447	0,945604693	0,9356247894	0,935763389	0,9587576039	0,9466543583	0,9643970183	0,9579097073	0,9484861942	0,9647210907	0,9605867159	0,9511851903	0,9425662172	0,9762790248	0,9466731677	0,9559367141	0,9606121809	0,9549498838	0,9554722009	0,9517775614	0,9361865457	0,9415858361	0,9454446404	0,9757794937	0,9590617618	0,9561475504	0,9466832926	0,948170986	0,9485669288	0,958715959	0,9602077443	0,9450615376	0,9573469795	0,9654498657	0,9582470714	0,9430398001	0,9483214748	0,9498316767	0,9477631335	0,9565767199	0,9123598391	0,9636396091	0,9392835892	0,9634881893	0,9483823803	0,9433972798	0,9499737287	0,9590641459	0,948621027	0,9322880065	0,9469162598	0,9649549477	0,945414496	0,9674685212	0,947643416	0,943092528	0,9455960081	0,9524080857	0,9469756833	0,9520762362	0,952551844	14,382004692	0,9465206744	0
heater+microWave	0,6537049164	0,5345853061	0,5318404404	0,888060624	1,3463084362	1,5165274565	0,0717832584	0,2851792769	2,9666975781	1,1758941164	6,5646881703	28,5666933965	2,9550458472	0,3339459335	2,5909326706	0,1527852892	0,5970899027	0,7814540309	2,1035776955	0,2957006379	195,8312685698	5,7278982174	2,1648533752	0,1647221718	6,2225877753	0,5749993064	1,2543585303	31,604760603	8,7151443918	2,8144992447	44,4747444057	1,6074295791	0,0685271115	119,4595605897	0,3449971445	2,954929336	0,8435050883	0,4485184614	196,8319179455	0,3991950047	67,5824425015	1,5428827178	0,7785204469	7,1568899547	0,1255093847	2,5607006812	0,1224240845	0,1438485609	0,5921415331	16,7067972513	1,1964079392	0,6725862776	1,3003507048	3,7770427472	2,1519050846	14,2521484949	153,455871952	0,2612852091	4,5639303796	2,3738203605	3,7277194858	0,4335274389	1,8533787521	0,0015984681	2,88228423	1,0215707387	1,7940797214	0,9566986831	0,7723226898	0,1790257867	4,6815702719	239,6888437064	1,4844030451	0,1268458079	1,4719252761	0,0205065205	0,0911649086	0,1328699541	0,0389707272	0,0668788324	0,9737643432	NA	0,9405808115	0,9532252941	0,9541249945	0,933832446	0,9523292463	0,9595876197	0,9494139539	0,9481132309	0,9493141926	0,9494727398	0,961183172	0,9577132439	0,9468731757	0,9503392769	0,934718144	0,9473035081	0,9539890874	0,9457146983	0,9326300714	0,9466978341	0,9747112352	0,9456991252	0,9359901127	0,9363832202	0,9590116158	0,9468484541	0,9641841902	0,9578915849	0,9489562607	0,9648249339	0,9616382247	0,9514888858	0,9456935497	0,9741839973	0,9464138826	0,9557243857	0,9598829885	0,9549579658	0,9535563952	0,951989702	0,9385227194	0,9416573209	0,9454538176	0,9747446901	0,9574734501	0,9560009071	0,9470309608	0,9485063172	0,9484819226	0,9563305036	0,9602095556	0,9457501329	0,9575076724	0,9653883066	0,9581664142	0,9429473521	0,9478141821	0,9501844304	0,9487856202	0,9559601907	0,9075269066	0,964207605	0,9395909825	0,9613418407	0,9488223992	0,9435938205	0,9501239183	0,9590268538	0,9487751426	0,9346121176	0,9467136357	0,9653546252	0,9451604699	0,9671184615	0,9476692061	0,9429565086	0,9455021354	0,9523177602	0,9485481395	0,9517046224	0,9510230592	15,0757823147	0,9458019354	0
cellPhone+microWave	0,7269058671	0,1108486194	0,4984504514	0,8493885622	1,2395990225	0,5602266949	0,0728968762	0,3557914345	1,3493819081	1,295710212	8,6642839953	0,0102608361	2,347949474	0,1727790396	3,3486282486	0,4026362733	0,4274767168	0,7760952705	2,258304412	0,1773476929	711,3671243077	3,4962476364	4,3975457976	0,161781777	5,1555185726	0,5211980229	1,0818341377	31,604760603	0,3919603213	1,0046581806	3,284671794	0,3298932729	33,6334961982	147,2971152034	0,4727472912	0,468817431	0,4895758037	0,4525910182	106,5653793919	0,2261751893	68,2216100363	3,2395864471	0,512453517	0,5639407521	4,3765791474	2,3139601566	0,1191838299	0,0474252304	1,4164944707	57,4974778051	0,7809049725	0,6281216575	1,7393001996	3,7711125804	1,0954973108	0,2484480845	155,7134303164	0,5893513718	1,5335225179	4,1738559683	0,3016764045	1,4398122039	0,9656809179	132,3913911131	0,7823367961	0,3735286877	2,6307128113	0,3774058154	1,5544339192	0,428477142	4,2813227713	54,0815927411	0,7817293641	0,0725785605	1,1414626317	5,18E-005	0,1125491802	0,1748744842	1,5114237012	0,1193064676	3,0780544882	NA	0,9390922197	0,9523744831	0,9542173702	0,9342070371	0,9522590373	0,9597987104	0,9481892925	0,948580513	0,948372361	0,9484346989	0,9613151178	0,9560432341	0,9460884899	0,9504697412	0,9348961254	0,947696554	0,9539869317	0,9455499928	0,9329446833	0,9466927092	0,9731130971	0,945631332	0,9370478938	0,9365609922	0,9565291552	0,9462831238	0,9644376072	0,9579003103	0,9483523717	0,9645511384	0,9599969663	0,9515488756	0,9456935497	0,9756666976	0,9466533689	0,9559324563	0,9602235533	0,9548876166	0,954414194	0,9520024726	0,9379833536	0,9415891779	0,945529925	0,9758677079	0,9586770003	0,9560819309	0,9456933486	0,9477294569	0,9485736119	0,9588041358	0,960006041	0,9438012576	0,9574292026	0,9649258253	0,9584170994	0,9432173155	0,948763951	0,9503924995	0,9490785462	0,9560094171	0,909340647	0,9641611509	0,9392173842	0,9630448197	0,9476623814	0,9435278489	0,9499854698	0,9591099055	0,9496951866	0,9337551496	0,9472226785	0,9661873952	0,9453911454	0,9658725925	0,9473794138	0,9429024956	0,945736053	0,952700782	0,9459544833	0,9520149788	0,9524848273	19,6695149621	0,9457885235	0
microWave+washMach	0,7189888049	0,0887212416	1,0373275464	0,8747381599	1,2201272146	0,1947514996	0,0717469134	0,3455225186	2,1007901988	1,307509528	2,5509884246	6,6055653115	2,3839141441	0,2246059002	2,5572462604	0,3632248209	1,043508095	0,7166658299	2,4103534234	0,169917795	NA	4,4217431821	4,8515779106	0,1560295466	2,8748216733	0,3983836535	0,7948532559	57,4706104732	1,234962822	0,5138286315	5,133265355	0,6664775485	23,2836675373	86,9595901429	0,6083586972	1,1780054398	0,1628110884	0,542186708	0,0127042302	0,3659658581	70,8165281897	4,6375217806	0,7561967599	7,8374450653	0,2986042332	2,1624884223	0,1113631832	0,0413369671	0,6402444583	17,7256692968	1,1497042584	0,5833305845	2,296037054	4,4548430517	0,9860314976	7,5187123317	183,0454076905	0,0334244302	3,5934291739	3,6683292278	0,0194137224	1,4092900827	0,6756501786	9,7126855586	0,5143231598	0,3388987829	0,9783735533	0,6333742003	0,4886156481	0,1679605647	4,4638600817	123,3551901836	1,0268406066	0,164366382	1,3963539905	6,0725803579	0,1117600275	0,1222150225	0,393032098	0,0936261299	1,9165106424	NA	0,9404381319	0,9524257766	0,9540949694	0,9342218176	0,9523379706	0,9596918319	0,9480748855	0,9487434078	0,9505280129	0,9494121234	0,9616595966	0,9574390121	0,9488463939	0,9498664472	0,9347324511	0,9488749007	0,9552056896	0,945925426	0,9319050447	0,9479241392	NA	0,945577809	0,9368903777	0,9380013947	0,9565136257	0,9475305414	0,9642065152	0,9578665271	0,9489506393	0,9644906307	0,9596858618	0,9529194865	0,9456935497	0,9748343585	0,9465900434	0,9559108606	0,9599025583	0,9559595653	0,9501823569	0,9529168298	0,941951346	0,9423926139	0,945881106	0,9787342955	0,9570914835	0,957523161	0,9461693673	0,9488416457	0,9494342145	0,9568204402	0,9604123614	0,943991957	0,9581806125	0,9648152406	0,9586151793	0,9442603779	0,9496947877	0,9510338488	0,9490765517	0,956530726	0,899633164	0,964736174	0,9411156303	0,96026962	0,947759169	0,9451379064	0,9508988233	0,9592678217	0,9488692826	0,9372784396	0,9465878201	0,9659137005	0,9466914625	0,9662940734	0,9489429443	0,9447782845	0,9457280169	0,9532709732	0,946453341	0,9525198591	0,9530995222	8,5628453252	0,9467688271	1
heater+dvd	0,7306582286	3,1988455376	0,7128551495	0,7411942205	1,2091289123	0,9715386864	0,0628466418	0,2922838814	2,4403202309	0,3170216992	1,8485547043	14,4134116339	3,2035806629	0,3735739864	2,4888676324	0,3910106819	3,8577289325	0,993413289	1,8248873869	0,3012155716	NA	5,9638925537	0,8192988217	0,1341991087	15,4200909593	0,5448326605	1,1732942173	19,4836484221	42,758228611	3,3647681141	4,4189540274	4,2730551114	31,7140786946	107,1107840321	0,3698744205	3,5827344872	0,9001196088	0,4545397039	88,2196138115	0,3242218077	0,0171266373	1,2761400284	0,8023465774	2,3213114313	0,5773310108	1,8551958778	0,1355012963	0,1553383822	0,6247326513	6,2735312881	1,1932771665	0,5688161059	1,4007003404	2,7931874934	2,0515769962	10,9008841657	154,2613919732	0,7702496337	2,6356443453	3,9012100418	1,418287774	2,5644640301	0,4955771195	10,4590248959	3,4681834832	0,9186281002	0,0499119958	1,2736656603	1,622453873	0,2461197883	6,1529507314	150,4992638357	0,3728759622	0,1176315479	1,013839007	1,2222403236	0,0773814685	0,3333233698	0,131234255	0,0516863921	5,8304391507	NA	0,9409523534	0,9533315385	0,9538749911	0,9337069993	0,9525590847	0,9595819313	0,9488989835	0,9503566223	0,9480330922	0,9485548192	0,9618797973	0,9544638737	0,9483737863	0,9506360731	0,9347688643	0,9473365543	0,9584788323	0,9456045028	0,9337541635	0,9477907468	NA	0,9456777702	0,9344591644	0,9362959998	0,9584300192	0,9478573112	0,9641811107	0,958283198	0,9501549629	0,9655764609	0,9615357736	0,951859989	0,9450637023	0,9738977262	0,9464144971	0,9557658349	0,9600195702	0,9560970388	0,9597082649	0,952215498	0,9394467163	0,9416752503	0,9459924776	0,9745974918	0,9586595906	0,95580385	0,9467166168	0,9483644515	0,9498884605	0,9555248142	0,9604842	0,9450583575	0,9581133267	0,9653480323	0,958612127	0,9436601146	0,9480178249	0,9506408361	0,9476571129	0,9561735401	0,909967402	0,9641904568	0,9392775767	0,9606645898	0,9478120777	0,9444131212	0,9500676144	0,9592140899	0,9478240261	0,9323961651	0,9484574453	0,9686225852	0,9447064152	0,9671618485	0,9483404712	0,9430866183	0,9458984008	0,9520867607	0,9472272871	0,9516889153	0,9526475657	9,4279730381	0,9467999596	1
microWave+dvd	0,5896895814	1,9423113114	0,6173595882	0,8119970331	1,2020332966	0,3007306024	0,072133898	0,3296772983	1,2410142156	1,4292579816	5,5758062328	3,2273508079	2,5958740434	0,2237334307	2,5199762127	0,4899350062	10,3666166815	0,8970808595	2,1043807634	0,1842501458	NA	4,201311099	4,3101141455	0,1585465097	3,8451649954	0,4250430277	0,6124763953	18,0523646524	19,6727514861	1,1522653175	1,6275458359	3,3007228718	43,2119285486	83,165754709	0,7815103965	1,3800127745	0,0720848059	0,3699413805	82,1267137679	0,1482192353	73,2924884648	2,3736154076	0,7410535791	10,5615453777	0,9189584502	1,7212197018	0,11902758	0,0979815751	1,1002802748	12,2795529114	1,0793350893	0,5577248143	1,5920364682	5,2703480945	1,1112795249	0,2070568426	156,0497036369	0,2265103371	6,754526355	3,2360523142	0,2276296098	2,1272727495	0,1418081874	17,6597267551	0,6644070472	0,3309569694	2,4485094675	0,3576356362	1,3211757992	0,3460470831	5,3676002444	156,3374076685	0,5389798155	0,1388872839	1,4405273387	1,1867978723	0,0694817293	0,3402014494	0,6219584584	0,0389194729	5,1671901849	NA	0,9397597934	0,952923058	0,9540962918	0,9341120128	0,9525562501	0,9595551153	0,9475288569	0,9502539018	0,9483300339	0,9484622826	0,9611360448	0,9575397903	0,9477664736	0,9500776875	0,9346505711	0,9476189846	0,9588015026	0,9456387836	0,9326388179	0,9477955787	NA	0,945732043	0,9360474037	0,9369922025	0,9549942333	0,9474245338	0,9641659654	0,9582765626	0,9513710406	0,9648407996	0,9620031624	0,9519889893	0,9493614767	0,9743553102	0,9463462013	0,955775356	0,9590734264	0,9560583068	0,9561951689	0,9520208963	0,9397743015	0,9416275645	0,9459357741	0,9746870177	0,9583821983	0,955905346	0,9456815694	0,9479280763	0,9499402872	0,9559485286	0,9601920755	0,9437928452	0,958084923	0,9647227083	0,9587190809	0,94370443	0,9485876759	0,9510304388	0,9489572221	0,955341286	0,8999030778	0,964547539	0,9392083894	0,9605623405	0,9473520924	0,9444121576	0,950092942	0,9592622674	0,9493772773	0,9338515333	0,948862932	0,9713454648	0,9447963284	0,9645414296	0,9480672753	0,942933151	0,9460191468	0,952679854	0,946533149	0,9514166954	0,952500848	9,7687387321	0,9461303207	1
microWave+soundEqui	0,5923450998	0,0050080734	0,63250592	1,0290278141	1,1725091941	0,3355987396	0,0797890637	0,3148345699	1,4673530446	2,1335329302	5,8165178321	1,7567564345	2,2332795692	0,2752172211	3,0546046341	0,4045420341	0,6735509636	0,7454033861	2,400360938	0,1560349767	NA	6,0314644193	3,9853099991	0,166165347	6,1925993225	0,3973600816	0,6283386276	32,39996205	0,067443659	1,0381512362	5,2143941492	0,9296901188	1,6441930555	125,2788175194	0,8480235109	1,0903849804	0,0816677796	0,5871222753	64,1433968199	0,1928573598	74,092483515	2,6202171108	0,6643967549	63,0813975723	6,7912191567	1,771833403	0,1249318705	0,0573205548	0,6515822748	11,4030651896	1,0386569695	0,6965059499	1,86748605	4,6460275211	0,9746213414	0,2461943822	154,4068008982	0,5047942235	2,2813455126	3,6309291779	3,1043565519	0,4032025295	0,5537042268	12,0161586471	0,6609707812	0,8873449873	0,6735631286	0,5019273377	0,6062038847	0,1715799357	5,2487556511	173,9626151631	0,4036929504	0,3135122178	1,4113116254	0,625972082	0,078530213	0,0827755628	4,1559108278	0,0884489329	1,6593369749	NA	0,9397367735	0,9525302041	0,9541742801	0,9359381568	0,9521979746	0,9596596945	0,9470836561	0,9479160369	0,9482193456	0,9482217284	0,9608692457	0,9576575999	0,9463649065	0,9497704161	0,9346676054	0,9473245439	0,9540172655	0,9467646941	0,9315103712	0,946936321	NA	0,9463457943	0,9383374644	0,9365010841	0,9543697643	0,9463073383	0,9641749314	0,9579915677	0,9502514285	0,9644508791	0,9596459111	0,9515738332	0,9478805273	0,9760199466	0,9463377274	0,9557333247	0,9603706339	0,9548690667	0,9500698721	0,9518957267	0,9380100492	0,9415613468	0,9453968246	0,9749895857	0,9582363828	0,9558756721	0,9453581667	0,9477172387	0,9485847146	0,9560256716	0,9601505601	0,9437896928	0,9577686582	0,965216998	0,9581723445	0,9431842489	0,9480475175	0,9518202101	0,9494673269	0,9549129361	0,8991283712	0,964562965	0,939173549	0,9604889153	0,9482345189	0,9437362934	0,9501056125	0,95916999	0,951647984	0,9357687113	0,9469089323	0,9821289216	0,9455789038	0,9650517503	0,9477960063	0,9430208338	0,9455286213	0,951900148	0,9468017976	0,9514432975	0,951060302	10,1919724799	0,9453985378	1
cellPhone+washMach	0,8807772504	3,0343173225	0,9880879769	0,6175957782	1,0769386036	0,024451215	0,0606746055	0,4724107272	2,0977147037	0,270903314	2,353015296	1,0913659584	2,1430886689	0,1816026129	3,279940776	0,3965710372	0,9865892066	0,823898243	2,2353296175	0,1666575621	NA	4,3161501734	3,1402152148	0,1118214412	11,7862543242	0,5206807805	1,0700575706	58,4036089512	2,0958614279	0,1879602113	0,5537017211	0,0905240896	48,9960998755	267,4720432	0,4095407896	0,5740969226	0,6028804088	0,6355008	58,7723009213	0,5089872285	1,4833440335	3,9513204511	0,4967463347	51,1909172763	3,3096842457	1,6911879522	0,1266799118	0,083334679	1,2597879277	43,4271833785	0,860373391	0,5661839018	2,8022046128	3,4050750357	0,7897007862	6,8416480062	170,2184470849	0,5064438939	0,3925797387	8,1059274351	0,7322484109	2,0306752926	0,3782542647	80,5539148743	0,5648683769	0,4555580239	0,0029757695	1,316031197	1,0652040285	0,358591971	4,9822209024	64,6700323941	0,1170179344	0,0856658224	0,5044375186	5,732731586	0,127209959	0,1376186046	1,5513402303	0,2762008367	5,4317223595	NA	0,9404364245	0,9516756089	0,9540311	0,9342290186	0,9523355778	0,9599343727	0,9479139036	0,9494437361	0,9497978882	0,9479769955	0,9626148501	0,9527839552	0,9488328941	0,9505264936	0,9350944059	0,9490304081	0,9553587672	0,9459138506	0,9334698202	0,9479108449	NA	0,9454301902	0,9360525921	0,9376100111	0,9568648622	0,9474661878	0,9643897409	0,9578662506	0,9482281987	0,9646049114	0,959880403	0,9533177869	0,9425662172	0,9773651793	0,9469035265	0,9560616488	0,9605113321	0,9559569081	0,9546590712	0,9534226688	0,9404095292	0,9424857447	0,9458274603	0,9784268896	0,9586007802	0,9575422979	0,9456299685	0,9487468914	0,9495678343	0,958775333	0,9604762633	0,9425854095	0,958201514	0,9649468508	0,9586669179	0,9444466294	0,9502522745	0,9509279163	0,9481947145	0,9569795413	0,9078470355	0,9645946898	0,9410921041	0,9623200956	0,9477364005	0,94507581	0,9506780586	0,9592930584	0,9486594401	0,9359699314	0,9468689201	0,9660728487	0,947124268	0,9671290251	0,9487637777	0,9447588124	0,945828389	0,9534800299	0,9447500948	0,9527469696	0,953896763	11,950168837	0,9471665937	1
dvd+soundEqui	0,6788077489	7,244932768	0,6675944438	0,9431390619	0,9817433926	0,4780150087	0,0671213329	0,391893141	1,078725247	0,2346397293	1,342483713	56,7221553598	2,3433715568	0,2948089988	3,0066018327	0,6157126587	6,6605446039	0,9126540378	2,1236573728	0,1498590126	NA	4,4131396188	2,6212272616	0,1434521696	2,1035490244	0,3796219021	0,6915546343	17,9520759095	22,3303172939	1,232602512	5,5295477522	2,6533269328	42,7040031993	167,0344719954	0,8197724095	1,5520248698	0,0945443579	0,5436204982	237,856079114	0,1810032819	0,1383752711	1,7284400274	0,5690846911	42,7806069233	3,439095069	1,1638898348	0,1417683867	0,1248713016	0,7713205162	0,5287738927	0,9939435879	0,5789072253	2,0858603187	4,9626845251	0,7158836084	0,037134478	154,9545442977	0,2112447922	4,5961605449	5,4497836873	1,4665906523	4,4914375484	0,2991377017	5,05E-007	0,5986109341	0,9371550975	0,3473946959	1,8032286187	1,830712644	0,316247674	6,3276180399	150,7930006747	0,338183653	0,3354017603	0,946692628	1,8715646154	0,0689395187	0,2290575097	2,9452383354	0,0893932134	4,4334094879	NA	0,9399737544	0,9524054938	0,9540004092	0,9359014892	0,9524636528	0,9596088684	0,9456229559	0,9501298637	0,9462282517	0,9464364755	0,9613097578	0,9541578269	0,947647256	0,9500321109	0,9346610266	0,9474186685	0,9588017367	0,9468332561	0,9329829086	0,9478428216	NA	0,9462137618	0,9378300659	0,9364185471	0,9541110274	0,9471531791	0,9641591689	0,9582906741	0,9501301966	0,9649476657	0,9605735822	0,9518440067	0,9460915407	0,9762256703	0,9463201662	0,9557828265	0,9603801073	0,9561587045	0,9534335013	0,9520435664	0,9378325504	0,9415840479	0,9457053972	0,9750504766	0,9587424505	0,9557248687	0,9444204997	0,9476724399	0,9497630289	0,9547994064	0,9600890162	0,9419238911	0,9580934289	0,9651439308	0,9586566868	0,9438154918	0,9481610593	0,9522554279	0,9477284857	0,9548598745	0,8999574136	0,9645272266	0,9386944551	0,9598286341	0,9478143951	0,9443548821	0,9500064322	0,9593238822	0,950906072	0,934332353	0,9484372422	0,9765600908	0,9455915841	0,964760549	0,9481520445	0,9430609266	0,945892581	0,9517855077	0,9461450292	0,9514534056	0,9529812161	12,5526973031	0,9464774852	1
cellPhone+car	0,8622967886	72,4088606702	0,5703021183	1,1453254082	1,2834888219	1,3789580666	0,0684321311	0,3366347904	1,9076391687	0,4154370202	4,9995430043	0,5982570925	2,2025122591	0,3112255816	3,3300132469	1,6032145015	1,7762145041	1,1825816488	2,235959808	0,1891284836	1,2480627383	2,6127246408	14,2737917876	0,136226565	6,4745732723	0,5276771634	1,0061947864	88,6664496104	26,6654288824	0,200050992	1,3225383995	0,1497742582	NA	146,8881493251	0,7613726439	0,8988999443	0,3603710277	0,6875083266	307,3812682755	0,5408911592	0,2474111815	4,6371610679	0,4525201573	6,0023156187	2,3255012932	1,180525239	0,1319771662	0,1082326749	3,6784069711	53,232095063	0,7840439495	0,7356912627	2,2149807577	3,0963040238	1,720867915	0,1606628126	155,973219504	0,8315361379	0,119729013	11,4712348199	26,8142757934	2,3026013863	0,9455502943	36,7962257051	0,5416333412	0,559276495	2,2600750165	1,18962093	2,0599508268	0,2715427104	3,9735901314	28,6725977659	0,1303840311	0,1814095965	0,3708448206	0,8010861745	0,103826365	0,1122073618	3,2088975939	0,4399513238	4,55942712	NA	0,9390266429	0,9523994365	0,9543407018	0,934418374	0,9522681237	0,9599223359	0,9490431711	0,9489175825	0,947605384	0,9477847136	0,9615598959	0,9524346474	0,9455214114	0,9508771377	0,934982131	0,9479187389	0,9542394963	0,9462198053	0,9340617358	0,9467180253	0,9636634554	0,945760698	0,9388627302	0,9360384203	0,9602108592	0,9456881034	0,9643865573	0,9578687879	0,9495232167	0,964464929	0,9595592489	0,9518122205	NA	0,9761818969	0,9466399021	0,9559364	0,9600533473	0,9548503519	0,9565025087	0,9516144869	0,9423987367	0,9417288007	0,9454433199	0,9779961809	0,9587159468	0,9561043696	0,9462123204	0,9479305087	0,9488704355	0,9582196228	0,9603257147	0,9421761715	0,9594860583	0,9665622172	0,9590890119	0,9435869761	0,9485742008	0,949878986	0,9477865768	0,9577414357	0,9069648534	0,9636783423	0,9393281503	0,9636377696	0,9487575251	0,9449912582	0,94989516	0,9590563224	0,9487848763	0,9350033529	0,9468046641	0,9648535125	0,9451769985	0,9668072993	0,9475698209	0,9440961777	0,9460402107	0,9522015725	0,9448345109	0,9519771201	0,9524865338	13,3125921291	0,9457565883	1
