ENTIDAD	EduDad	EduMom	floors	walls	sanitary	OverCr	dvd	cellPhone	fridge	washMach	heater	microWave	soundEqui	car	books	SEXO	ZONA	SECTOR	INSE
Amazonas	0.156971375807941	0.154201292705448	0.0304709141274238	0.025854108956602	0.0341643582640813	0.0277008310249307	0	0	0	0	0	0	0	0	0.0609418282548476	0.00461680517082179	0	0	0
Antioquia	0.186087352434226	0.129987967088361	0.0177891963966308	0.0147321864125663	0.0244560798725162	0.0255943282708381	0	0	0	0	0	0	0	0	0.0586035318221731	0.00591889167127386	0	0	0
Apartadó	0.205142231947484	0.145514223194748	0.0196936542669584	0.0147702407002188	0.0284463894967177	0.0328227571115974	0	0	0	0	0	0	0	0	0.0596280087527352	0.0103938730853392	0	0	0
Arauca	0.179456338705797	0.119076256916045	0.0221313447197498	0.0144334856867934	0.0269425066153476	0.0288669713735867	0	0	0	0	0	0	0	0	0.0606206398845321	0.00481116189559779	0	0	0
Armenia	0.210324559161768	0.142090467671863	0.017377970866343	0.0117556861742908	0.0214669051878354	0.0222335803731153	0	0	0	0	0	0	0	0	0.0587784308714541	0.00715563506261181	0	0	0
Atlántico	0.167247386759582	0.147967479674797	0.0300813008130081	0.0211382113821138	0.0380952380952381	0.0393728222996516	0	0	0	0	0	0	0	0	0.059581881533101	0.00813008130081301	0	0	0
Barrancabermeja	0.184980673660961	0.139977912755384	0.0204307012700166	0.0138045278851463	0.0284373274434014	0.0303699613473219	0	0	0	0	0	0	0	0	0.0577029265599117	0.00496963003865268	0	0	0
Barranquilla	0.206309398099261	0.173244456177402	0.0206573389651531	0.0157734952481521	0.0313489968321014	0.0333949313621964	0	0	0	0	0	0	0	0	0.0525343189017951	0.00501583949313622	0	0	0
Bello	0.207831325301205	0.132530120481928	0.0120481927710843	0.0104535790219702	0.0200212615166549	0.0228561304039688	0	0	0	0	0	0	0	0	0.0575832742735648	0.00460666194188519	0	0	0
Bogotá, D.C.	0.176937193513774	0.120528685606554	0.012354716754079	0.00972733380800048	0.019474723974368	0.0200663865461948	0	0	0	0	0	0	0	0	0.0453073135510785	0.00406141256931979	0	0	0
Bolívar	0.202499155690645	0.176224248564674	0.032016210739615	0.0275582573454914	0.0488348530901722	0.0501182033096927	0	0	0	0	0	0	0	0	0.0780141843971631	0.00763255656872678	0	0	0
Boyacá	0.125907314349525	0.0774706867671692	0.0120044667783361	0.00788665549972083	0.0168900055834729	0.0188442211055276	0	0	0	0	0	0	0	0	0.056393076493579	0.00307091010608599	0	0	0
Bucaramanga	0.151152073732719	0.105859117840685	0.0107965766951942	0.00921658986175115	0.0167215273206057	0.0214614878209348	0	0	0	0	0	0	0	0	0.0462146148782093	0.00355497037524687	0	0	0
Buenaventura	0.205983101164649	0.170130166704727	0.0299155058232473	0.0244348024663165	0.0461292532541676	0.0433889015757022	0	0	0	0	0	0	0	0	0.0710207810002284	0.00959123087462891	0	0	0
Buga	0.230512991339107	0.163890739506995	0.0193204530313125	0.0133244503664224	0.0226515656229181	0.0253164556962025	0	0	0	0	0	0	0	0	0.0599600266489007	0.00466355762824783	0	0	0
Caldas	0.168668850867613	0.0992597985681349	0.0145613396432472	0.0114063827205436	0.0185657080451402	0.0222060429559519	0	0	0	0	0	0	0	0	0.0601868705254217	0.00558184686324475	0	0	0
Cali	0.204475746904464	0.148017721231398	0.0182513537051763	0.0147676928319891	0.0254837366049453	0.0248778825400432	0	0	0	0	0	0	0	0	0.0552084516642054	0.00378658790563823	0	0	0
Caquetá	0.168615107913669	0.13556654676259	0.0294514388489209	0.0161870503597122	0.0319244604316547	0.0370953237410072	0	0	0	0	0	0	0	0	0.0717176258992806	0.00427158273381295	0	0	0
Cartagena	0.210301377938251	0.18804804362243	0.0241691842900302	0.0163584113182522	0.0324957630240955	0.0336010610861396	0	0	0	0	0	0	0	0	0.0576965588387002	0.0051580576228723	0	0	0
