ENTIDAD	EduDad	EduMom	floors	walls	sanitary	OverCr	dvd	cellPhone	fridge	washMach	heater	microWave	soundEqui	car	books	SEXO	ZONA	SECTOR	INSE
Antioquia	0.161209068010076	0.0931989924433249	0.00818639798488665	0.0113350125944584	0.0182619647355164	0.0207808564231738	0	0	0	0	0	0	0	0	0.0535264483627204	0.00188916876574307	0	0	0
Apartadó	0.0818181818181818	0.0454545454545455	0.0181818181818182	0.00909090909090909	0.0181818181818182	0.0363636363636364	0	0	0	0	0	0	0	0	0.0727272727272727	0	0	0	0
Arauca	0.127931769722815	0.0660980810234542	0.00639658848614072	0.00639658848614072	0.0127931769722814	0.0170575692963753	0	0	0	0	0	0	0	0	0.0319829424307036	0.00213219616204691	0	0	0
Atlántico	0.125386996904025	0.105263157894737	0.0356037151702786	0.0278637770897833	0.0417956656346749	0.0356037151702786	0	0	0	0	0	0	0	0	0.0588235294117647	0.00619195046439629	0	0	0
Barranquilla	0.178731009830206	0.142091152815013	0.0169794459338695	0.0142984807864164	0.0232350312779267	0.031277926720286	0	0	0	0	0	0	0	0	0.0625558534405719	0.00804289544235925	0	0	0
Bello	0.110294117647059	0.0661764705882353	0.0110294117647059	0.00367647058823529	0.00367647058823529	0.0110294117647059	0	0	0	0	0	0	0	0	0.0477941176470588	0	0	0	0
Bogotá, D.C.	0.141050583657588	0.0849546044098573	0.0111867704280156	0.00778210116731518	0.0165369649805447	0.0192931258106355	0	0	0	0	0	0	0	0	0.0536640726329442	0.00372892347600519	0	0	0
Bolívar	0.172289156626506	0.130120481927711	0.0144578313253012	0.0168674698795181	0.0313253012048193	0.0493975903614458	0	0	0	0	0	0	0	0	0.0662650602409639	0.00240963855421687	0	0	0
Boyacá	0.0841463414634146	0.0463414634146341	0.00731707317073171	0.0048780487804878	0.0158536585365854	0.0170731707317073	0	0	0	0	0	0	0	0	0.0414634146341463	0.00121951219512195	0	0	0
Bucaramanga	0.0958083832335329	0.0598802395209581	0.00598802395209581	0.0119760479041916	0	0.029940119760479	0	0	0	0	0	0	0	0	0.0419161676646707	0.00598802395209581	0	0	0
Buenaventura	0.121212121212121	0.108225108225108	0.0216450216450216	0.012987012987013	0.0216450216450216	0.0216450216450216	0	0	0	0	0	0	0	0	0.038961038961039	0	0	0	0
Buga	0.134615384615385	0.115384615384615	0.0384615384615385	0.0192307692307692	0.0192307692307692	0.0769230769230769	0	0	0	0	0	0	0	0	0.0961538461538462	0.0192307692307692	0	0	0
Caldas	0.138228941684665	0.0734341252699784	0.00431965442764579	0.00215982721382289	0.00215982721382289	0.00215982721382289	0	0	0	0	0	0	0	0	0.0431965442764579	0.00215982721382289	0	0	0
Cali	0.154864328259431	0.116479152878888	0.0165453342157512	0.0119126406353408	0.0178689609530112	0.0191925876902713	0	0	0	0	0	0	0	0	0.0681667769688948	0.000661813368630046	0	0	0
Caquetá	0.133704735376045	0.0974930362116992	0.0194986072423398	0.0222841225626741	0.0278551532033426	0.0222841225626741	0	0	0	0	0	0	0	0	0.0947075208913649	0.00278551532033426	0	0	0
Cartagena	0.137318255250404	0.113085621970921	0.024232633279483	0.00969305331179321	0.0274636510500808	0.037156704361874	0	0	0	0	0	0	0	0	0.0678513731825525	0.00323101777059774	0	0	0
Cartago	0.201388888888889	0.138888888888889	0.0277777777777778	0.0277777777777778	0.0486111111111111	0.0625	0	0	0	0	0	0	0	0	0.104166666666667	0	0	0	0
Casanare	0.203636363636364	0.116363636363636	0.0218181818181818	0.00727272727272727	0.0218181818181818	0.0327272727272727	0	0	0	0	0	0	0	0	0.0727272727272727	0.00727272727272727	0	0	0
Cauca	0.121367521367521	0.0786324786324786	0.0256410256410256	0.0205128205128205	0.0307692307692308	0.0239316239316239	0	0	0	0	0	0	0	0	0.0837606837606838	0.0102564102564103	0	0	0
Cesar	0.133093525179856	0.0953237410071942	0.0107913669064748	0.0143884892086331	0.0161870503597122	0.0179856115107914	0	0	0	0	0	0	0	0	0.0845323741007194	0.00179856115107914	0	0	0
